,n_unique,mean,median,std
Grade,2,0.42,0.0,0.49
Gender,2,0.42,0.0,0.49
Age_at_diagnosis,766,50.94,51.55,15.7
Race,4,0.11,0.0,0.37
IDH1,2,0.48,0.0,0.5
TP53,2,0.41,0.0,0.49
ATRX,2,0.26,0.0,0.44
PTEN,2,0.17,0.0,0.37
EGFR,2,0.13,0.0,0.34
CIC,2,0.13,0.0,0.34
MUC16,2,0.12,0.0,0.32
PIK3CA,2,0.09,0.0,0.28
NF1,2,0.08,0.0,0.27
PIK3R1,2,0.06,0.0,0.25
FUBP1,2,0.05,0.0,0.23
RB1,2,0.05,0.0,0.21
NOTCH1,2,0.05,0.0,0.21
BCOR,2,0.03,0.0,0.18
CSMD3,2,0.03,0.0,0.18
SMARCA4,2,0.03,0.0,0.18
GRIN2A,2,0.03,0.0,0.18
IDH2,2,0.03,0.0,0.16
FAT4,2,0.03,0.0,0.16
PDGFRA,2,0.03,0.0,0.16
