k,cv_R2,test_R2,test_1-R2
1,0.11854241562155074,0.10899604970341015,0.8910039502965899
2,0.2913887915544701,0.26498546180812566,0.7350145381918743
3,0.3067488833683777,0.279471416567064,0.720528583432936
4,0.32082837474813386,0.296250301197425,0.703749698802575
5,0.34238794299790765,0.32421722447234447,0.6757827755276555
6,0.34145067649264077,0.32453179743221106,0.675468202567789
8,0.34033495513225,0.32445618849477065,0.6755438115052294
9,0.3396436326296382,0.3260143491426546,0.6739856508573454
10,0.3392556538128464,0.3273277534091199,0.6726722465908801
11,0.33572277342784956,0.3293909057831521,0.6706090942168479
